date,description,rating_badge,rating_score
2018年08月29日評價,,無與倫比,10.0
2018年08月23日評價,整體並沒有覺得特別好，住宿品質跟服務也沒有賓至如歸的感覺。服務品質有待加強（不夠親切）,良好,6.0
2018年08月08日評價,香格里拉酒店是我这么多年最喜欢的酒店之一！房间大而温馨…,心水之選,8.0
2018年08月04日評價,outstanding staff service ! although the hotel is a little old and the swimming pool was really small. i will choose again this Hotel because they really care about the hosts.,無與倫比,10.0
2018年06月24日評價,最差的入住体验了，一共住了3晚，到第二天下午空调就坏了，香港30多度的天，在酒店汗流浃背，然后晚上8点说空调修好了，然而并没有，第三天一直到退房，酒店的空调都是坏的，去前台问，只是让我排在准备checkin的长长队伍后面等待，没有任何赔偿措施。来香港10几次，住过不同的五星级酒店，这次是最差的了，还有这次住的楼层有好多房间在装修，味道非常刺鼻。九龙的香格里拉是目前住过最差的，管理服务都不行，唯一的优点就是房间比较大了。总之是非常差的入住体验。,有待改善,2.0
2018年06月11日評價,"地點ok, 服務很好。",無與倫比,10.0
2018年05月13日評價,非常令人滿意的房間！美中不足的只有雨淋式的蓮蓬頭不能用,無與倫比,10.0
2018年05月16日評價,"房間大,服務好,有國際水準",無與倫比,10.0
2018年05月01日評價,有夜景，離地鐵站近，搭船叫車都很容易，附近吃東西或者是購物都方便，入住飯店時招待人員也很專業、友善，下次來香港仍會想要到這裡，房間空間寬敞設備也很齊全，是很不錯的體驗。,無與倫比,10.0
2018年04月07日評價,"人員服務很好，房間也很乾淨
我們是住低樓層海灣房，但是1F戶外 花園區開放到凌晨01:00還是02:00，客人們聊天的聲音在房間都聽得到，沒戴耳塞就不能好好入睡>_<    幾十年的玻璃隔音不行了! ! (其實白天的車子聲音也聽得很清楚)  應該是飯店業者要考慮改善的地方 。
",良好,6.0
2018年02月25日評價,装修有点旧了，我们理解，距离海港城那一块儿有点远,無與倫比,10.0
2017年12月22日評價,"Good location, convinent, wonderful service",無與倫比,10.0
2017年12月20日評價,"Great location, good service.  Check-in line was long and moved really slowly though, I wonder why ?",心水之選,8.0
